,Price,Year of Production,Case Material,Brace Material,Condition
369,"$44,186",2010,Titanium,Titanium,Very good
370,"$51,589",2016,White gold,Crocodile skin,Very good
371,"$120,393",2022,Steel,Steel,Very good
372,"$67,427",2022,Titanium,Titanium,Very good
373,"$50,441",2003,Steel,Steel,Very good
374,"$22,724",1999,Steel,Steel,Very good
375,"$55,089",2021,Steel,Steel,Unworn
376,"$30,414",1996,Gold/Steel,Gold/Steel,Very good
377,"$30,070",1998,Gold/Steel,Gold/Steel,Very good
378,"$34,291",1998 ,Steel,Steel,Very good
379,"$65,304",2021,Steel,Steel,New
380,"$72,075",2021,Steel,Steel,Very good
381,"$91,701",2020,Steel,Steel,Very good
382,"$40,140",2021,Titanium,Rubber,Very good
383,"$67,869",2014,Rose gold,Crocodile skin,Good
384,"$33,208",2008,Steel,Crocodile skin,Very good
385,"$97,710",2018,Steel,Steel,Unworn
386,"$165,050",2017,Rose gold,Rose gold,Very good
387,"$68,747",2021,Steel,Steel,New
388,"$50,498",2022,Steel,Steel,New
389,"$45,850",1993,Steel,Steel,Very good
390,"$28,578",2015,Steel,Rubber,Very good
391,"$27,258",2015,Steel,Rubber,Very good
392,"$16,986",2011,Rose gold,Leather,Very good
393,"$50,781",2021,Steel,Steel,Very good
394,"$48,662",2007,Rose gold,Rubber,Good
395,"$41,891",2021,Rose gold,Leather,Very good
396,"$105,588",2021,Rose gold,Rose gold,Very good
397,"$158,382",2022,Steel,Steel,Unworn
398,"$40,169",2019,Titanium,Rubber,Very good
399,"$87,225",2021,Steel,Steel,Very good
400,"$24,931",2011 ,Steel,Leather,Very good
401,"$38,053",2015,Rose gold,Leather,Very good
402,Price on request,2008,Steel,Rubber,Very good
403,"$71,157",2023,Steel,Steel,New
404,"$62,549",2023,Steel,Steel,New
405,"$63,123",1996,Yellow gold,Yellow gold,Very good
406,"$23,000",2011,Steel,Rubber,Good
407,"$41,000",2011,Steel,Steel,Good
408,"$60,000",2012 ,Steel,Steel,Good
409,"$94,111",2018,Steel,Steel,Very good
410,"$100,997",2020,Steel,Steel,Very good
411,"$73,338",2022,Steel,Steel,Very good
412,"$53,827",2011,Steel,Steel,Very good
413,Price on request,2022,Steel,Steel,Unworn
414,"$54,515",2021,Titanium,Rubber,Unworn
415,"$45,902",2018,Steel,Rubber,Very good
416,"$63,707",2021,White gold,Rubber,New
417,"$25,830",1985,Yellow gold,Yellow gold,Very good
418,"$44,684",2006,Rose gold,Leather,Very good
419,"$114,513",2022,Steel,Steel,Unworn
420,"$139,651",2011,Rose gold,Crocodile skin,Very good
421,"$68,426",2003,Steel,Steel,Very good
422,"$51,666",2021,Steel,Rubber,Very good
423,"$286,293",2017,Ceramic,Ceramic,Very good
424,"$488,798",2020,Steel,Steel,Very good
425,"$40,494",2000,Steel,Steel,Very good
426,"$54,460",2023,Steel,Steel,Unworn
427,"$149,427",2022,Rose gold,Rose gold,Very good
428,"$46,079",2012,Titanium,Leather,Very good
429,Price on request,2004,Steel,Steel,Very good
430,"$88,572",2004,Tantalum,Crocodile skin,Very good
431,"$75,450",2007,Tantalum,Rubber,Unworn
432,"$72,170",2007,Rose gold,Rubber,Unworn
433,"$25,587",2014,Steel,Leather,Very good
434,"$46,582",2016,Steel,Steel,Unworn
435,"$23,527",1999,Steel,Steel,Very good
436,"$75,747",2001,Yellow gold,Yellow gold,Good
437,"$90,668",2022,Steel,Steel,New
438,"$47,055",2008,Steel,Steel,Very good
439,"$36,726",2007,Rose gold,Rubber,Very good
440,"$55,261",1999 ,Yellow gold,Yellow gold,Very good
441,Price on request,2023,Steel,Steel,Unworn
442,Price on request,2023,Steel,Steel,Unworn
443,Price on request,2023,White gold,White gold,Unworn
444,Price on request,2023,Steel,Steel,Unworn
445,Price on request,2023,Ceramic,Ceramic,Unworn
446,Price on request,2022,Steel,Steel,Unworn
447,Price on request,2022,Steel,Steel,Unworn
448,Price on request,2023,Rose gold,Rose gold,Unworn
449,Price on request,2022,White gold,White gold,Unworn
450,Price on request,2023,Rose gold,Rose gold,Unworn
451,Price on request,2023,Steel,Rubber,Unworn
452,Price on request,2023,Rose gold,Rose gold,Unworn
453,Price on request,2022,Steel,Steel,Unworn
454,Price on request,2022,Steel,Steel,Unworn
