,Price,Year of Production,Case Material,Brace Material,Condition
58720,"$28,246",2012,Steel,Steel,Very good
58721,"$32,201",2022,Steel,Steel,New
58722,"$27,117",2020,Steel,Steel,New
58723,"$23,727",2021,Steel,Steel,Unworn
58724,"$43,000",2022,White gold,White gold,Unworn
58725,"$29,500",2022,Steel,Steel,New
58726,"$45,000",2022,Rose gold,Rose gold,Very good
58727,"$6,440",1974,Steel,Steel,Very good
58728,"$20,788",2023,Steel,Steel,Unworn
58729,"$15,035",2013,Steel,Steel,Very good
58730,"$5,977",1969,Steel,Steel,Very good
58731,"$5,977",1978,Steel,Steel,Very good
58732,"$19,874",2023,Steel,Steel,New
58733,"$6,203",1979,Steel,Steel,Very good
58734,"$6,203",1998,Steel,Steel,Very good
58735,"$5,422",1976,Gold/Steel,Leather,Very good
58736,"$5,535",1970,Gold/Steel,Gold/Steel,Very good
58737,"$9,491",2016,Steel,Steel,Very good
58738,"$16,598",2023,White gold,Steel,New
58739,"$18,000",2020 ,Steel,Steel,Very good
58740,"$17,163",2023,Steel,Steel,New
58741,"$17,276",2023,White gold,Steel,New
58742,"$17,276",2023,Gold/Steel,Gold/Steel,New
58743,"$33,207",2023,Steel,Steel,New
58744,"$157,615",2020,Platinum,Platinum,New
58745,"$37,229",2023,Steel,Steel,New
58746,"$47,398",2023,Yellow gold,Yellow gold,New
58747,"$17,501",2023,Gold/Steel,Gold/Steel,New
58748,"$17,501",2023,Steel,Steel,New
58749,"$17,501",2023,White gold,Steel,New
58750,"$17,000",2022,Steel,Steel,Unworn
58751,"$19,095",2015,Steel,Steel,Very good
58752,"$13,999",2023,Gold/Steel,Steel,New
58753,"$7,898",1962,Yellow gold,Leather,Very good
58754,"$19,773",2022,Steel,Steel,New
58755,"$16,100",2023,Steel,Steel,New
58756,"$48,209",2017,Yellow gold,Yellow gold,Very good
58757,"$14,688",2021,Steel,Steel,Unworn
58758,"$14,688",2021,Steel,Steel,Unworn
58759,"$14,688",2015,Steel,Steel,Very good
58760,"$15,129",2023,White gold,Steel,New
58761,"$15,242",2023,Steel,Steel,New
58762,"$11,174",2023,Steel,Steel,New
58763,"$57,592",2021,Rose gold,Rubber,New
58764,"$72,666",2021,Rose gold,Rose gold,New
58765,"$16,722",2021,Gold/Steel,Gold/Steel,New
58766,"$11,852",2023,Steel,Steel,New
58767,"$11,852",2023,Steel,Steel,New
58768,"$47,443",2009,Rose gold,Rose gold,Very good
58769,"$45,081",2017,Yellow gold,Yellow gold,Good
58770,"$45,081",2018,Yellow gold,Yellow gold,Very good
58771,"$12,417",2020,Steel,Steel,Unworn
58772,"$11,525",2012 ,Gold/Steel,Gold/Steel,Very good
58773,"$36,720",1999,Yellow gold,Yellow gold,Very good
58774,"$25,874",2021,Steel,Steel,New
58775,"$26,213",2023,Gold/Steel,Gold/Steel,Unworn
58776,"$48,471",2023,Rose gold,Rubber,Unworn
58777,"$12,500",1990,Steel,Steel,Very good
58778,"$13,321",2018,Gold/Steel,Gold/Steel,Very good
58779,"$18,437",1969 ,Steel,Steel,Good
58780,"$25,874",2015,Steel,Steel,Very good
58781,"$19,773",2021,Gold/Steel,Gold/Steel,Very good
58782,"$13,773",2021,Gold/Steel,Gold/Steel,Very good
58783,"$3,623",1944 ,Steel,Steel,Very good
58784,"$3,623",1980 ,Steel,Steel,Very good
58785,"$3,682",1976,Yellow gold,Leather,Very good
58786,"$6,395",2002,Steel,Steel,Very good
58787,"$11,287",2018,Steel,Steel,Very good
58788,"$11,287",2021,Steel,Steel,Very good
58789,"$11,580",2009,Steel,Steel,Very good
58790,"$12,982",1998,Steel,Steel,Good
58791,"$11,852",1994,Steel,Steel,Very good
58792,"$12,078",2021,Steel,Steel,Very good
58793,"$4,250",1989,Gold/Steel,Gold/Steel,Very good
58794,"$4,250",1992,Gold/Steel,Gold/Steel,Very good
58795,"$15,197",2021,Gold/Steel,Steel,Very good
58796,"$15,539",2023,Steel,Steel,New
58797,"$4,750",1999,Gold/Steel,Gold/Steel,Very good
58798,"$12,315",2016,Steel,Steel,Very good
58799,"$12,315",2011,Steel,Steel,Good
58800,"$8,078",2008,Steel,Steel,Very good
58801,"$16,044",2023,Steel,Steel,Unworn
58802,"$16,044",2023,Gold/Steel,Gold/Steel,Unworn
58803,"$6,994",2021,Steel,Steel,Very good
58804,"$9,604",1999,Steel,Steel,Very good
58805,"$8,361",1993,Yellow gold,Yellow gold,Very good
58806,"$13,332",2023,Steel,Steel,Unworn
58807,"$7,343",1997,Steel,Steel,Very good
58808,"$13,389",2023,Gold/Steel,Steel,Unworn
58809,"$8,756",2000,Steel,Steel,Very good
58810,"$8,926",2015,Steel,Steel,Very good
58811,"$7,062",1999,Steel,Steel,Very good
58812,"$8,530",1996,Steel,Steel,Very good
58813,"$14,462",2013,Steel,Steel,Very good
58814,"$7,344",1995,Steel,Steel,Very good
58815,"$7,344",1994,Steel,Steel,Very good
58816,"$12,869",1998,Steel,Steel,Good
58817,"$17,389",2021,Steel,Gold/Steel,Very good
58818,"$12,982",1990,Gold/Steel,Gold/Steel,Very good
58819,"$11,016",2023,Steel,Steel,Unworn
58820,"$4,500",2003,Steel,Steel,Very good
58821,"$11,129",2011,Steel,Steel,Very good
58822,"$13,106",2022,Steel,Steel,Unworn
58823,"$8,756",2001 ,Steel,Steel,Very good
58824,"$7,683",1991,Steel,Steel,Very good
58825,"$17,727",2022,Steel,Steel,New
58826,"$5,888",1950 ,Yellow gold,Crocodile skin,Good
58827,"$14,903",2019,Steel,Steel,Very good
58828,"$14,903",2020,Steel,Steel,Very good
58829,"$3,954",1980,Steel,Steel,Very good
58830,"$12,315",2017,Steel,Steel,Very good
58831,"$26,200",2020,Steel,Steel,New
58832,"$10,508",2010,Steel,Steel,Good
58833,"$11,186",2023,Steel,Steel,New
58834,Price on request,1968,Steel,Steel,Very good
58835,Price on request,1953,Yellow gold,Yellow gold,Good
58836,Price on request,1958,Steel,Leather,Good
58837,Price on request,1960 ,Rose gold,Rose gold,Very good
58838,Price on request,1965,Steel,Steel,Very good
58839,Price on request,1965,Yellow gold,Crocodile skin,Very good
58840,Price on request,1959,Steel,Steel,Good
58841,Price on request,1964,Steel,Leather,Very good
58842,"$11,739",2017,Steel,Steel,Very good
58843,"$3,164",1950 ,Gold/Steel,Crocodile skin,Very good
58844,"$3,164",1950 ,Steel,Leather,Very good
58845,"$19,773",2019 ,Steel,Steel,Unworn
58846,"$15,253",2021,Gold/Steel,Gold/Steel,Very good
58847,"$15,985",2022,Steel,Steel,Very good
58848,"$15,985",2022,Steel,Steel,Very good
58849,"$9,491",2013,Steel,Steel,Very good
58850,"$6,045",1989,Gold/Steel,Gold/Steel,Very good
58851,"$11,299",2003,Steel,Steel,Good
58852,"$20,337",2015 ,Gold/Steel,Gold/Steel,Unworn
58853,"$15,818",2019,Gold/Steel,Gold/Steel,Very good
58854,"$3,305",1970 ,Rose gold,Crocodile skin,Good
58855,"$19,202",2019,Gold/Steel,Gold/Steel,Very good
58856,"$17,230",2023 ,Steel,Steel,Unworn
58857,"$19,202",2022,Gold/Steel,Gold/Steel,New
58858,"$19,202",2019,Steel,Steel,Very good
58859,"$6,214",2009,Steel,Steel,New
58860,"$6,553",2010,Steel,Steel,Very good
58861,"$17,990",2020,Steel,Steel,Unworn
58862,"$13,985",2022,Steel,Steel,Unworn
58863,"$17,965",2022 ,Gold/Steel,Gold/Steel,Unworn
58864,"$11,864",2008,Steel,Steel,Very good
58865,"$18,925",2023,Steel,Steel,New
58866,"$16,377",2016,Gold/Steel,Gold/Steel,Very good
58867,"$16,377",2023,Steel,Steel,New
58868,"$16,377",2023,Steel,Steel,New
58869,"$16,377",2016,Steel,Steel,New
58870,"$22,500",2021,Gold/Steel,Gold/Steel,Unworn
58871,"$11,016",2022,Steel,Steel,Very good
58872,"$16,665",2023,Steel,Steel,New
58873,"$16,942",2017,Steel,Steel,Very good
58874,"$16,942",2023,Steel,Steel,New
58875,"$16,942",2020,Steel,Steel,Very good
58876,"$16,942",2023,Steel,Steel,New
58877,"$16,942",2023,Steel,Steel,New
58878,"$7,672",2008,Steel,Steel,Very good
58879,"$7,909",1989,Gold/Steel,Gold/Steel,Good
58880,"$12,428",2021 ,Steel,Steel,Unworn
58881,"$8,135",1990,Gold/Steel,Gold/Steel,Very good
58882,"$14,682",2023,Steel,Steel,New
58883,"$14,682",2019,Steel,Steel,Very good
58884,"$14,682",2023,Steel,Steel,New
58885,"$14,682",2023,Steel,Steel,New
58886,"$14,682",2020,Steel,Steel,Very good
58887,"$14,682",2022,Steel,Steel,New
58888,"$14,682",2020,Steel,Steel,Very good
58889,"$14,682",2022,Steel,Steel,New
58890,"$14,682",2018,Steel,Steel,Very good
58891,"$14,682",2021,Gold/Steel,Gold/Steel,New
58892,"$14,682",2018,Steel,Steel,Very good
58893,"$19,095",2019,Gold/Steel,Gold/Steel,Unworn
58894,"$6,203",1982,Yellow gold,Leather,Very good
58895,"$3,842",1987,Gold/Steel,Gold/Steel,Good
58896,"$6,655",1978,Yellow gold,Yellow gold,Very good
58897,"$4,631",1991,Yellow gold,Leather,Very good
58898,"$12,423",2023,Steel,Steel,New
58899,"$12,423",2023,Steel,Steel,New
58900,"$12,423",2022,Steel,Steel,New
58901,"$12,423",2023,Steel,Steel,New
58902,"$12,423",2023,Steel,Steel,New
58903,Price on request,2021,Steel,Steel,New
58904,Price on request,2021,Steel,Steel,New
58905,Price on request,2022,Yellow gold,Yellow gold,New
58906,"$39,404",1975,Steel,Steel,Very good
58907,"$7,220",2003,Steel,Steel,Very good
58908,"$9,598",2018,Steel,Steel,Very good
58909,"$9,598",2023,Steel,Steel,New
58910,"$6,779",1999,Steel,Steel,Very good
58911,"$8,191",2022 ,Steel,Steel,Unworn
58912,"$7,005",1991,Steel,Steel,Very good
58913,"$73,655",2022,Rose gold,Rose gold,Unworn
58914,"$24,733",2023,Gold/Steel,Gold/Steel,Unworn
58915,"$33,432",2023,Steel,Steel,Unworn
58916,"$10,728",2022,Steel,Steel,New
58917,"$16,000",2021,Gold/Steel,Gold/Steel,New
58918,"$107,336",2013,Platinum,Platinum,Very good
58919,"$31,625",1995,Yellow gold,Leather,Very good
58920,"$8,468",2021,Steel,Steel,New
58921,"$8,468",2021,Steel,Steel,New
58922,"$20,891",2023,Steel,Steel,Unworn
58923,"$2,788",1982,Gold/Steel,Gold/Steel,Fair
58924,"$21,456",2022,Steel,Steel,Very good
58925,"$21,456",2022,Steel,Steel,Unworn
58926,"$22,500",1966,Steel,Steel,Fair
58927,"$28,863",2001 ,Steel,Steel,Very good
58928,"$37,017",2001 ,Steel,Steel,Good
58929,"$29,999",1973,Steel,Steel,Fair
58930,"$34,634",1997,Steel,Steel,Very good
58931,"$23,900",1966 ,Steel,Steel,Fair
58932,"$32,283",1975 ,Steel,Steel,Fair
58933,"$18,631",2022,Steel,Steel,Very good
58934,"$18,631",2023,Steel,Steel,Unworn
58935,"$27,060",2006,Yellow gold,Yellow gold,Very good
58936,"$25,365",1979,Steel,Steel,Good
58937,"$50,448",2014,Rose gold,Rose gold,Very good
58938,Price on request,2023 ,Steel,Steel,Unworn
58939,"$11,856",2021,Steel,Steel,Unworn
58940,"$17,999",1979 ,Steel,Steel,Fair
58941,"$10,900",2022,Steel,Steel,New
58942,"$14,632",2022,Steel,Steel,Very good
58943,"$61,975",2023,Yellow gold,Yellow gold,New
58944,"$29,475",2023,Steel,Steel,New
58945,"$38,996",2016,Yellow gold,Yellow gold,Very good
58946,"$12,993",2020,Steel,Steel,Good
58947,"$17,976",2022,Gold/Steel,Gold/Steel,Unworn
58948,"$19,900",2018,Gold/Steel,Gold/Steel,Unworn
58949,"$18,368",2022,Gold/Steel,Gold/Steel,New
58950,"$11,995",2020,Steel,Steel,Very good
58951,"$17,513",2008,White gold,Crocodile skin,Very good
58952,"$17,513",2021,Gold/Steel,Gold/Steel,Unworn
58953,"$19,400",1989,Yellow gold,Yellow gold,Very good
58954,"$14,000",2005,Gold/Steel,Gold/Steel,Good
58955,"$11,751",2008 ,Steel,Steel,Good
58956,"$19,150",2023,Gold/Steel,Gold/Steel,New
58957,"$13,321",2023,Steel,Steel,Unworn
58958,"$11,864",2007,Steel,Steel,Very good
58959,"$13,434",2023,Steel,Steel,Unworn
58960,"$19,790",2019,Steel,Steel,Unworn
58961,"$36,500",2017,Yellow gold,Yellow gold,Unworn
58962,"$61,000",2019,Rose gold,Rose gold,Very good
58963,"$26,700",2016,Gold/Steel,Gold/Steel,Very good
58964,"$22,990",2018,Gold/Steel,Gold/Steel,Very good
58965,"$59,900",2019,Rose gold,Rose gold,Very good
58966,"$60,000",2021,Rose gold,Rose gold,Unworn
58967,"$47,000",2020 ,Rose gold,Rose gold,Very good
58968,"$54,500",2021,Rose gold,Rose gold,Unworn
58969,"$70,995",2022,Rose gold,Rose gold,New
58970,"$40,500",2018,White gold,White gold,Unworn
58971,"$36,000",2016,Yellow gold,Yellow gold,Very good
58972,"$23,499",2022,Gold/Steel,Gold/Steel,Unworn
58973,"$64,199",2021,White gold,Rubber,Unworn
58974,"$53,500",1997,Yellow gold,Yellow gold,Very good
58975,"$72,349",2021,Rose gold,Rose gold,Very good
58976,"$24,995",2020,Steel,Steel,Very good
58977,"$50,500",2016,Rose gold,Rose gold,Very good
58978,"$55,000",2021,Rose gold,Rose gold,Very good
58979,"$69,500",2019,Rose gold,Rose gold,Very good
58980,"$49,000",2018,Rose gold,Rose gold,Very good
58981,"$48,000",2017,Yellow gold,Yellow gold,Very good
58982,"$18,036",2020,Gold/Steel,Gold/Steel,Very good
58983,"$18,036",2015,Steel,Steel,Very good
58984,"$11,739",2014,Steel,Steel,Very good
58985,"$18,133",2019,Gold/Steel,Gold/Steel,Very good
58986,"$15,705",1986,Steel,Steel,Very good
58987,"$17,925",2023,Steel,Steel,New
58988,"$19,773",2014,Steel,Steel,Very good
58989,"$10,734",2009,Steel,Steel,Good
58990,"$48,583",2017,Rose gold,Rose gold,Very good
58991,"$15,705",2015,Steel,Steel,Very good
58992,"$16,476",2019,Gold/Steel,Gold/Steel,Very good
58993,"$11,468",1992,Steel,Steel,Very good
58994,"$19,000",1995,Yellow gold,Yellow gold,Good
58995,"$16,768",1991,Gold/Steel,Gold/Steel,Very good
58996,"$8,982",2021,Steel,Steel,Very good
58997,"$10,496",2022,Steel,Steel,Very good
58998,"$16,866",2023,Steel,Steel,Unworn
58999,"$16,866",1989,Gold/Steel,Gold/Steel,Good
59000,"$16,866",2022,Steel,Steel,Unworn
59001,"$16,963",2016,Gold/Steel,Gold/Steel,Very good
59002,"$16,963",2015,Gold/Steel,Gold/Steel,Very good
59003,"$9,321",2023,Steel,Steel,Very good
59004,"$24,631",2023,Gold/Steel,Gold/Steel,Unworn
59005,"$8,689",1991,Yellow gold,Yellow gold,Very good
59006,"$7,898",2012,Steel,Steel,Good
59007,"$15,084",2022,Gold/Steel,Gold/Steel,Very good
59008,"$7,785",1989,Yellow gold,Yellow gold,Very good
59009,"$72,450",2021,White gold,White gold,New
59010,"$61,259",2023,Rose gold,Rose gold,New
59011,"$64,486",2023,Yellow gold,Yellow gold,New
59012,"$47,755",2022,Yellow gold,Yellow gold,New
59013,"$55,264",2023,Yellow gold,Rubber,New
59014,"$48,737",2019,Yellow gold,Yellow gold,New
59015,"$31,611",2017,Rose gold,Rubber,New
59016,"$24,964",2022,Gold/Steel,Gold/Steel,New
59017,"$63,228",2022,Yellow gold,Yellow gold,New
59018,"$63,228",2022,Yellow gold,Yellow gold,New
59019,"$50,719",2023,Rose gold,Rubber,New
59020,"$52,689",2022,Rose gold,Rose gold,New
59021,"$52,630",2023,Rose gold,Rose gold,New
59022,"$23,706",2023,Steel,Steel,New
59023,"$37,480",2023,Steel,Steel,New
59024,"$24,701",2023,Gold/Steel,Gold/Steel,New
59025,"$49,863",2023,Rose gold,Rubber,New
59026,"$32,928",2023,Steel,Steel,New
59027,"$31,611",2022,Steel,Steel,New
59028,"$51,181",2023,Yellow gold,Rubber,New
59029,"$62,576",2022,White gold,White gold,New
59030,"$162,032",2022,Platinum,Platinum,New
59031,"$52,630",2023,Rose gold,Rose gold,New
59032,"$22,988",2023,Steel,Steel,New
59033,"$25,024",2023,Steel,Steel,New
59034,"$65,863",2022,Rose gold,Rubber,New
59035,"$118,558",2021,Yellow gold,Yellow gold,New
59036,"$71,798",2022,Rose gold,Rose gold,New
59037,"$38,138",2022 ,Steel,Steel,New
59038,"$49,863",2023,White gold,Rubber,New
59039,"$24,569",2018,Steel,Steel,Unworn
59040,"$24,701",2023,Steel,Steel,Unworn
59041,"$52,689",2023,White gold,White gold,New
59042,"$27,659",2023,Steel,Steel,New
59043,"$52,037",2023,White gold,White gold,New
59044,"$59,217",2021,Rose gold,Rose gold,New
59045,"$31,611",2020,White gold,Rubber,New
59046,"$50,719",2023,Rose gold,Rose gold,New
59047,"$53,354",2022,Rose gold,Rubber,New
59048,"$110,654",2022,Yellow gold,Yellow gold,New
59049,"$151,493",2023,White gold,Rubber,New
59050,"$78,977",2021,White gold,White gold,New
59051,"$69,360",2023,White gold,White gold,New
59052,"$14,818",2014,Gold/Steel,Gold/Steel,Very good
59053,"$13,844",2008,Steel,Steel,Very good
59054,"$13,844",2001,Steel,Steel,Very good
59055,"$12,089",2022,Steel,Steel,Very good
59056,"$12,202",2021,Steel,Steel,Very good
59057,"$12,202",2013,Gold/Steel,Gold/Steel,Very good
59058,"$11,895",2018,White gold,Steel,Good
59059,"$16,500",2018,Gold/Steel,Gold/Steel,Very good
59060,"$12,315",2022,Steel,Steel,Very good
59061,"$7,659",1984 ,Yellow gold,Yellow gold,Very good
59062,"$15,300",2021,Steel,Steel,New
59063,"$7,853",1996,Gold/Steel,Gold/Steel,Very good
59064,"$11,186",2022,Steel,Steel,Very good
59065,"$12,767",2008,Steel,Steel,Very good
59066,"$10,125",2017,Steel,Steel,Very good
59067,"$10,168",2015,Steel,Steel,Very good
59068,"$10,168",2012,Gold/Steel,Gold/Steel,Very good
59069,"$6,768",2014,Steel,Steel,Very good
59070,"$13,161",2012,Steel,Steel,Very good
59071,"$13,161",2006,Steel,Steel,Very good
59072,"$13,259",1991,Gold/Steel,Gold/Steel,Very good
59073,"$21,072",2023,Steel,Steel,New
59074,"$19,773",1998,Gold/Steel,Gold/Steel,Very good
59075,"$5,073",1980 ,Yellow gold,Leather,Very good
59076,"$7,220",2007,Gold/Steel,Gold/Steel,Very good
59077,"$8,926",2019,Steel,Steel,Very good
59078,"$10,056",2021,Steel,Steel,Very good
59079,"$11,894",2019,Steel,Steel,Very good
59080,"$11,894",2009,Steel,Steel,Very good
59081,"$4,960",1989 ,Gold/Steel,Gold/Steel,Very good
59082,"$17,061",1975,Steel,Steel,Good
59083,"$11,242",2000,Steel,Steel,Very good
59084,"$5,638",1999,Steel,Steel,Very good
59085,"$12,186",2013,Gold/Steel,Gold/Steel,Very good
59086,"$12,284",2001,Steel,Steel,Very good
59087,"$20,337",2008,Steel,Steel,Very good
59088,"$19,111",2023,Steel,Steel,New
59089,"$10,724",2022,Steel,Steel,Unworn
59090,"$7,908",2002,Gold/Steel,Gold/Steel,Very good
59091,"$10,821",2017,Steel,Steel,Very good
59092,"$10,821",2022,Steel,Steel,Very good
59093,"$4,508",2003,Steel,Steel,Very good
59094,"$5,988",1992,Steel,Steel,Very good
59095,"$11,211",2022,Steel,Steel,Unworn
59096,"$4,282",2006,Gold/Steel,Gold/Steel,Very good
59097,"$8,869",1987,White gold,White gold,Very good
59098,"$4,300",1996,Steel,Steel,Fair
59099,"$17,785",2017,Steel,Steel,New
59100,"$19,405",2018,Steel,Steel,Very good
59101,"$19,405",2006,Steel,Steel,Very good
59102,"$26,552",2015,Steel,Steel,Very good
59103,"$5,525",1985,Steel,Steel,Very good
59104,"$16,383",2021,Steel,Gold/Steel,Unworn
59105,"$16,383",2023,White gold,Steel,New
59106,"$10,900",2010,Gold/Steel,Gold/Steel,Unworn
59107,"$12,427",2010,Steel,Steel,Fair
59108,"$11,000",2020,Steel,Steel,Very good
59109,"$11,000",2020,Steel,Steel,Very good
59110,"$4,993",1999,White gold,Leather,Good
59111,"$8,774",2022,Steel,Steel,Unworn
59112,"$4,508",1981,Steel,Steel,Very good
59113,"$9,164",2018,Steel,Steel,Very good
59114,"$5,599",2010,Steel,Steel,Very good
59115,"$7,344",1993 ,Gold/Steel,Gold/Steel,Very good
59116,"$7,344",1982 ,Steel,Steel,Very good
59117,"$7,344",1998 ,Steel,Steel,Very good
59118,"$9,262",2018,Steel,Steel,Very good
59119,"$17,119",2023,Steel,Steel,New
59120,"$11,186",2018,Steel,Steel,Good
59121,"$14,030",2023,Steel,Steel,New
59122,"$14,030",2023,Steel,Steel,New
59123,"$55,250",2023,Rose gold,Rose gold,New
59124,"$14,575",2022,Steel,Steel,New
59125,"$4,158",1967,Steel,Steel,Very good
59126,"$4,169",2001,Steel,Steel,Very good
59127,"$15,918",2017,Steel,Gold/Steel,Good
59128,"$14,688",2023,Steel,Steel,New
59129,"$6,727",1989,Gold/Steel,Gold/Steel,Very good
59130,"$9,500",2016,Steel,Steel,Unworn
59131,"$15,005",2017,Steel,Steel,Unworn
59132,"$15,027",2023,Steel,Steel,New
59133,"$15,253",2021,White gold,Steel,Unworn
59134,"$19,250",2021,Steel,Steel,Very good
59135,"$7,995",2021,Steel,Steel,New
59136,"$5,654",1981,Steel,Steel,Very good
59137,"$19,102",1973,Yellow gold,Yellow gold,Very good
59138,"$5,654",1999,Steel,Steel,Very good
59139,"$14,333",2023,Steel,Steel,New
59140,"$42,935",1991,Steel,Steel,Good
59141,"$13,276",2018,Steel,Steel,Very good
59142,"$19,400",2021,Gold/Steel,Gold/Steel,Unworn
59143,"$17,060",1986,Steel,Steel,Very good
59144,"$11,638",2004,Steel,Steel,Very good
59145,"$17,126",2014,Steel,Steel,Good
59146,"$12,099",2019,Steel,Steel,Good
59147,"$8,813",2016,Steel,Steel,Good
59148,"$13,113",1999 ,Steel,Steel,Very good
59149,"$11,864",2021,Steel,Steel,New
59150,"$11,864",2008,Steel,Steel,Very good
59151,"$11,791",2023,Steel,Steel,New
59152,"$11,791",2017,Steel,Steel,Very good
59153,"$4,095",1972,Steel,Steel,Very good
59154,"$5,196",1972 ,Gold/Steel,Leather,Very good
59155,"$4,350",1940 ,Steel,Leather,Good
59156,"$13,891",2022 ,White gold,Steel,New
59157,"$22,030",2023,Gold/Steel,Gold/Steel,Unworn
59158,"$26,999",2023,Steel,Steel,New
59159,"$22,144",1987,Steel,Steel,Good
59160,"$13,557",2021,Steel,Steel,New
59161,"$10,748",2002 ,Steel,Steel,Very good
59162,"$8,191",1998 ,Steel,Steel,Very good
59163,"$9,215",2023,Steel,Steel,New
59164,"$15,802",2002,Steel,Steel,Good
59165,"$22,596",2019,Gold/Steel,Gold/Steel,Unworn
59166,"$107,335",2017,Platinum,Platinum,Unworn
59167,"$65,531",1958,Steel,Leather,Good
59168,"$41,804",2021,Yellow gold,Yellow gold,Very good
59169,"$57,622",2021,Rose gold,Rose gold,Unworn
59170,"$11,807",2000,Steel,Steel,Very good
59171,"$16,138",2004,Steel,Steel,Very good
59172,"$76,265",2006,White gold,White gold,Very good
59173,"$57,685",2021,Rose gold,Rose gold,Very good
59174,"$44,610",2021,Yellow gold,Yellow gold,Very good
59175,"$24,612",2022,Steel,Steel,Very good
59176,"$26,663",2013,Gold/Steel,Gold/Steel,Very good
59177,"$58,967",2022,Rose gold,Rose gold,Very good
59178,"$35,124",2023,Steel,Steel,New
59179,"$29,483",2006,Steel,Steel,Unworn
59180,"$35,637",2018,Rose gold,Rubber,Very good
59181,"$4,745",1981,Steel,Steel,Very good
59182,"$19,741",2021,Steel,Steel,Very good
59183,"$4,802",1981,Gold/Steel,Gold/Steel,Very good
59184,"$15,500",2021,Steel,Steel,Unworn
59185,"$15,500",2020 ,Steel,Steel,Very good
59186,"$16,020",2014,Gold/Steel,Gold/Steel,Very good
59187,"$19,997",2021,Steel,Steel,New
59188,"$20,616",1980 ,Yellow gold,Yellow gold,Good
59189,"$19,716",1999,Gold/Steel,Gold/Steel,Very good
59190,"$16,292",2019,Steel,Steel,Unworn
59191,"$15,900",2020,Gold/Steel,Gold/Steel,Very good
59192,Price on request,2006,White gold,White gold,Very good
59193,Price on request,2015,White gold,White gold,Very good
59194,Price on request,2022,Rose gold,Rose gold,Unworn
59195,"$12,721",2022 ,Platinum,Steel,New
59196,"$12,726",2022 ,Steel,Steel,New
59197,"$20,224",1986,Steel,Steel,Very good
59198,"$12,801",2022 ,Steel,Satin,New
59199,"$9,475",2008,Steel,Steel,Good
59200,Price on request,2022,Steel,Steel,New
59201,"$5,767",1997,Steel,Steel,Good
59202,"$12,900",2020,Steel,Steel,Very good
59203,"$13,900",2021,Gold/Steel,Gold/Steel,Very good
59204,"$14,270",1984 ,Yellow gold,Yellow gold,Very good
59205,"$14,314",2023 ,Rose gold,Gold/Steel,Unworn
59206,"$14,321",2022,Steel,Steel,Unworn
59207,"$13,999",2023,Steel,Steel,Unworn
59208,"$14,000",2009,Gold/Steel,Gold/Steel,Good
59209,"$7,853",2020,Steel,Steel,Very good
59210,"$18,698",2022,Steel,Steel,Unworn
59211,"$14,447",2021,Steel,Steel,Unworn
59212,"$14,492",2021,Gold/Steel,Gold/Steel,Unworn
59213,"$3,590",1996,Gold/Steel,Steel,Good
59214,"$3,597",2002,Steel,Steel,Very good
59215,"$7,398",1987,Steel,Steel,Very good
59216,"$16,950",2016,Steel,Steel,Very good
59217,"$6,327",2000,Gold/Steel,Gold/Steel,Very good
59218,"$19,500",2021,Steel,Steel,New
59219,"$6,064",1999,Gold/Steel,Gold/Steel,Very good
59220,"$6,723",1993,Gold/Steel,Gold/Steel,Very good
59221,"$11,000",2016,Steel,Steel,Very good
59222,"$9,611",2022 ,Steel,Steel,New
59223,"$47,419",2023,Rose gold,Rose gold,New
59224,"$75,091",2014,Rose gold,Rose gold,Very good
59225,"$72,450",2020,Rose gold,Rose gold,Unworn
59226,"$8,124",2022 ,Steel,Steel,New
59227,"$8,224",2022 ,Steel,Steel,New
59228,"$15,649",2021,Steel,Steel,Very good
59229,"$8,361",2022 ,Steel,Steel,New
59230,"$8,374",2022 ,Steel,Steel,New
59231,"$8,424",2022 ,Steel,Steel,New
59232,"$8,424",2022 ,Steel,Steel,New
59233,"$9,156",1970,Steel,Steel,Very good
59234,"$17,653",2023,Gold/Steel,Gold/Steel,Unworn
59235,"$13,694",2003,Gold/Steel,Steel,Very good
59236,"$12,000",2017,Steel,Steel,Very good
59237,"$12,000",2019,White gold,Steel,Very good
59238,"$12,315",2009,Steel,Steel,Good
59239,"$12,078",1990,Steel,Steel,Very good
59240,"$20,420",2022,Gold/Steel,Gold/Steel,Very good
59241,"$10,999",2000 ,Steel,Steel,Good
59242,"$11,000",2019,Steel,Steel,Good
59243,"$11,000",2014,Steel,Steel,Good
59244,"$8,234",1988,Gold/Steel,Gold/Steel,Very good
59245,"$8,234",2003,Gold/Steel,Gold/Steel,Very good
59246,"$8,234",2002,Steel,Steel,Very good
59247,"$8,234",1987,Gold/Steel,Gold/Steel,Very good
59248,"$11,299",1980 ,Yellow gold,Crocodile skin,Unworn
59249,"$22,750",2022 ,Gold/Steel,Gold/Steel,Unworn
59250,"$43,300",2022 ,Yellow gold,Rubber,Unworn
59251,"$6,731",2022 ,Steel,Steel,New
59252,"$10,434",2015 ,Steel,Steel,Very good
59253,"$14,123",1994,Steel,Steel,Very good
59254,"$6,826",2022 ,Steel,Steel,New
59255,"$19,761",2020,Gold/Steel,Gold/Steel,Very good
59256,"$6,976",2022 ,Steel,Steel,New
59257,"$23,500",2019,Gold/Steel,Gold/Steel,Very good
59258,"$13,434",2011,Steel,Steel,Very good
